epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,0.0010000000474974513,0.596578061580658,0.5311151742935181,0.3142852485179901,0.53183513879776,0.5110286474227905,0.29415708780288696
1,0.0010000000474974513,0.5642810463905334,0.507722795009613,0.29044774174690247,0.4671191871166229,0.4594235122203827,0.24612398445606232
2,0.0010000000474974513,0.46279042959213257,0.4228721857070923,0.22273831069469452,0.27605971693992615,0.30558541417121887,0.14080579578876495
3,0.0010000000474974513,0.3606107532978058,0.35866841673851013,0.2004166841506958,0.23719432950019836,0.2582510709762573,0.09976310282945633
4,0.0010000000474974513,0.29297661781311035,0.2917272746562958,0.13023196160793304,0.22632698714733124,0.242599219083786,0.08478853106498718
5,0.0010000000474974513,0.270157128572464,0.27372315526008606,0.11431803554296494,0.14074364304542542,0.18346962332725525,0.051779408007860184
6,0.0010000000474974513,0.2388511449098587,0.28145259618759155,0.1256864219903946,0.13604408502578735,0.1677568405866623,0.04273097962141037
7,0.0010000000474974513,0.22674061357975006,0.25503113865852356,0.10119660198688507,0.16620032489299774,0.18568965792655945,0.04970720782876015
8,0.0010000000474974513,0.2172747254371643,0.23483219742774963,0.08710239827632904,0.1361376792192459,0.15958601236343384,0.03817006200551987
9,0.0010000000474974513,0.1974433809518814,0.23782707750797272,0.0887226015329361,0.11008302867412567,0.14663013815879822,0.03418504446744919
10,0.0010000000474974513,0.18669794499874115,0.2388118952512741,0.0880744531750679,0.11319208145141602,0.14497406780719757,0.03343670442700386
11,0.0010000000474974513,0.18354369699954987,0.2254694104194641,0.08003497123718262,0.11520253866910934,0.14454331994056702,0.03335370123386383
12,0.0010000000474974513,0.17710568010807037,0.22265958786010742,0.07753920555114746,0.10615787655115128,0.14537084102630615,0.03455916792154312
13,0.0010000000474974513,0.17190982401371002,0.22300145030021667,0.07731370627880096,0.10799755901098251,0.14426468312740326,0.03409173712134361
14,0.0010000000474974513,0.16922807693481445,0.2124226689338684,0.07196318358182907,0.10748190432786942,0.14410977065563202,0.034063395112752914
15,0.0010000000474974513,0.158028706908226,0.21352340281009674,0.07056372612714767,0.10501722991466522,0.14459359645843506,0.03439586982131004
16,0.0010000000474974513,0.1556883305311203,0.21164147555828094,0.07045928388834,0.10598921030759811,0.14293663203716278,0.03352542221546173
17,0.0010000000474974513,0.15863613784313202,0.20917902886867523,0.06908009201288223,0.10527994483709335,0.14224021136760712,0.033180758357048035
18,0.0010000000474974513,0.15673021972179413,0.20223422348499298,0.06424020230770111,0.10490337759256363,0.14213377237319946,0.03306310623884201
19,0.0010000000474974513,0.15381762385368347,0.20075178146362305,0.06344208866357803,0.09813303500413895,0.1461745947599411,0.0354611836373806
20,0.0010000000474974513,0.15077057480812073,0.21059279143810272,0.0690770298242569,0.09664619714021683,0.14777469635009766,0.03623560443520546
21,0.0010000000474974513,0.14687883853912354,0.20804652571678162,0.0671529769897461,0.10153035074472427,0.14336127042770386,0.03378290310502052
22,0.0010000000474974513,0.14499035477638245,0.1928555816411972,0.05830143764615059,0.1000368520617485,0.14462967216968536,0.03447217866778374
23,0.0010000000474974513,0.14172138273715973,0.19984611868858337,0.06303997337818146,0.09574470669031143,0.15055088698863983,0.037734467536211014
24,0.0010000000474974513,0.14646539092063904,0.2069786936044693,0.06663583219051361,0.09770841151475906,0.14817078411579132,0.0364559069275856
25,0.0010000000474974513,0.1384059339761734,0.19638492166996002,0.06034058332443237,0.10318612307310104,0.14310280978679657,0.03373442217707634
26,0.0010000000474974513,0.14031854271888733,0.1956034153699875,0.06005973741412163,0.10110168904066086,0.1438915878534317,0.034283578395843506
27,0.0010000000474974513,0.13535308837890625,0.19307202100753784,0.058643970638513565,0.09578129649162292,0.1494675725698471,0.037337929010391235
28,0.0010000000474974513,0.13229215145111084,0.1966603398323059,0.061226144433021545,0.09596511721611023,0.14926466345787048,0.03728441148996353
29,0.0010000000474974513,0.1352573037147522,0.1984214335680008,0.061325982213020325,0.10182039439678192,0.14391133189201355,0.03425924852490425
30,0.0010000000474974513,0.14034344255924225,0.18810318410396576,0.05576132982969284,0.10070712119340897,0.14535462856292725,0.03509975224733353
31,0.0010000000474974513,0.13046906888484955,0.18962466716766357,0.0557483434677124,0.09513583034276962,0.15422146022319794,0.03987329080700874
32,0.0010000000474974513,0.13536977767944336,0.20260930061340332,0.06448816508054733,0.09571760892868042,0.15257562696933746,0.039063721895217896
33,0.0010000000474974513,0.13131143152713776,0.19527526199817657,0.05981411039829254,0.10203679651021957,0.14447642862796783,0.03453657403588295
34,0.0010000000474974513,0.13439102470874786,0.18558470904827118,0.05381952226161957,0.0997745469212532,0.14624081552028656,0.03557648882269859
35,0.0010000000474974513,0.13251477479934692,0.19281020760536194,0.05863325670361519,0.09525135159492493,0.15273815393447876,0.039078280329704285
36,0.0010000000474974513,0.12981845438480377,0.19160528481006622,0.05734629184007645,0.09448011219501495,0.15386927127838135,0.03961805999279022
37,0.0010000000474974513,0.1343686729669571,0.19676175713539124,0.060245413333177567,0.0931548997759819,0.15664735436439514,0.040944166481494904
38,0.0010000000474974513,0.12271929532289505,0.19532066583633423,0.05976714566349983,0.0941368043422699,0.1526200771331787,0.03897025063633919
39,0.0010000000474974513,0.12997964024543762,0.19159206748008728,0.05763208866119385,0.0949791893362999,0.15000905096530914,0.03769253194332123
40,0.0010000000474974513,0.12251463532447815,0.18633012473583221,0.053855735808610916,0.09256015717983246,0.1557886153459549,0.040492910891771317
41,0.0010000000474974513,0.12233694642782211,0.19473500549793243,0.05895678699016571,0.09333204478025436,0.15376505255699158,0.03959367051720619
42,0.0010000000474974513,0.1255265176296234,0.18798701465129852,0.05522539094090462,0.09579672664403915,0.14881369471549988,0.03717444837093353
43,0.0010000000474974513,0.12608221173286438,0.18973249197006226,0.055507805198431015,0.0943865105509758,0.15195822715759277,0.03871668875217438
44,0.0010000000474974513,0.13030825555324554,0.19531577825546265,0.05891638621687889,0.09425437450408936,0.15336497128009796,0.039394792169332504
45,0.0010000000474974513,0.12024841457605362,0.1865227073431015,0.054206378757953644,0.09625496715307236,0.1498478353023529,0.03760974481701851
46,0.0010000000474974513,0.12251817435026169,0.18574178218841553,0.053801968693733215,0.09379320591688156,0.1561499834060669,0.04071861878037453
47,0.0010000000474974513,0.12213919311761856,0.19145111739635468,0.05650845170021057,0.09225908666849136,0.16308000683784485,0.04403182119131088
48,0.0010000000474974513,0.12162206321954727,0.19796809554100037,0.06012263149023056,0.09641313552856445,0.1508951485157013,0.03812539204955101
49,0.0010000000474974513,0.12207750976085663,0.17648816108703613,0.049002211540937424,0.10211169719696045,0.14448629319667816,0.034608855843544006
50,0.0010000000474974513,0.1256030946969986,0.18006788194179535,0.05115091800689697,0.09357637912034988,0.15954704582691193,0.04247145727276802
51,0.0010000000474974513,0.12686575949192047,0.20130811631679535,0.0622682124376297,0.09272478520870209,0.16077488660812378,0.04299318790435791
52,0.0010000000474974513,0.1230892539024353,0.19242025911808014,0.05768146365880966,0.09970076382160187,0.14460237324237823,0.034899916499853134
53,0.0010000000474974513,0.12635722756385803,0.17688478529453278,0.04890326038002968,0.0929819718003273,0.15633821487426758,0.0407530777156353
54,0.0010000000474974513,0.12318501621484756,0.19419439136981964,0.05805717408657074,0.09037875384092331,0.16937583684921265,0.04677468165755272
55,0.0010000000474974513,0.12001271545886993,0.19658206403255463,0.05998619645833969,0.09406555444002151,0.15323403477668762,0.039219580590724945
56,0.0010000000474974513,0.12316743284463882,0.18227458000183105,0.05144627019762993,0.09440292418003082,0.15268781781196594,0.03893841803073883
57,0.0010000000474974513,0.11810316890478134,0.1832377314567566,0.051911283284425735,0.09176572412252426,0.16243338584899902,0.04361243546009064
58,0.0010000000474974513,0.11637654900550842,0.1907813847064972,0.056224580854177475,0.09244304895401001,0.16025367379188538,0.04263781011104584
59,0.0010000000474974513,0.11611836403608322,0.1879734992980957,0.054751988500356674,0.09473150968551636,0.15347254276275635,0.039514925330877304
60,0.0010000000474974513,0.11650404334068298,0.18472346663475037,0.05289135500788689,0.09339559078216553,0.15770873427391052,0.04161842539906502
61,0.0010000000474974513,0.11532965302467346,0.1888333410024643,0.056264668703079224,0.09267451614141464,0.16004781424999237,0.042710933834314346
62,0.0010000000474974513,0.11688517034053802,0.18898585438728333,0.05615617707371712,0.0964943990111351,0.14921949803829193,0.03749753534793854
63,0.0010000000474974513,0.11453871428966522,0.17473767697811127,0.04804554954171181,0.09569130092859268,0.15078702569007874,0.03825843706727028
64,0.0010000000474974513,0.11758515983819962,0.18204104900360107,0.051566578447818756,0.09149732440710068,0.16574424505233765,0.04528425633907318
65,0.0005000000237487257,0.11680585145950317,0.19595001637935638,0.05893629789352417,0.09190741926431656,0.16422295570373535,0.044619105756282806
66,0.0005000000237487257,0.11908776313066483,0.1931617707014084,0.05763356387615204,0.09470786899328232,0.1543252319097519,0.04008207842707634
67,0.0005000000237487257,0.11159126460552216,0.1824614256620407,0.051879145205020905,0.09618177264928818,0.15159496665000916,0.03873152658343315
68,0.0005000000237487257,0.11769013851881027,0.18295127153396606,0.0522293858230114,0.09548132121562958,0.15354320406913757,0.03969613462686539
69,0.0005000000237487257,0.11410988122224808,0.184508815407753,0.05278269201517105,0.09462043642997742,0.1567445695400238,0.041212424635887146
70,0.0005000000237487257,0.1155865341424942,0.18779002130031586,0.054762184619903564,0.09376314282417297,0.159737691283226,0.04259955510497093
71,0.0005000000237487257,0.11404280364513397,0.18496647477149963,0.05344970151782036,0.0947134867310524,0.1561821848154068,0.040892668068408966
72,0.0005000000237487257,0.11642765998840332,0.1854548454284668,0.05359019711613655,0.09704127162694931,0.1508871614933014,0.038297995924949646
73,0.0005000000237487257,0.11695700138807297,0.18394093215465546,0.05239231884479523,0.0990179106593132,0.14793995022773743,0.03677958995103836
74,0.0005000000237487257,0.11771698296070099,0.18104583024978638,0.05033382400870323,0.09542537480592728,0.15451663732528687,0.04015757888555527
